Date,close,high,low,open,volume,log_return
2010-01-04,5232.2001953125,5238.4501953125,5167.10009765625,5200.89990234375,0,
2010-01-05,5277.89990234375,5288.35009765625,5242.39990234375,5277.14990234375,0,0.0086963957751834
2010-01-06,5281.7998046875,5310.85009765625,5260.0498046875,5278.14990234375,0,0.0007386389062683265
2010-01-07,5263.10009765625,5302.5498046875,5244.75,5281.7998046875,0,-0.0035466864183382987
2010-01-08,5244.75,5276.75,5234.7001953125,5264.25,0,-0.003492649046092997
2010-01-11,5249.39990234375,5287.2001953125,5227.7998046875,5263.7998046875,0,0.0008861894848711219
2010-01-12,5210.39990234375,5300.5,5200.9501953125,5251.10009765625,0,-0.0074571562473284584
2010-01-13,5233.9501953125,5239.2001953125,5169.5498046875,5212.60009765625,0,0.004509678948100578
2010-01-14,5259.89990234375,5272.85009765625,5232.5,5234.5,0,0.004945708140283072
2010-01-15,5252.2001953125,5279.85009765625,5242.4501953125,5259.89990234375,0,-0.0014649229624307774
2010-01-18,5274.85009765625,5292.5,5228.9501953125,5253.64990234375,0,0.004303187818976659
2010-01-19,5225.64990234375,5287.7998046875,5218.64990234375,5274.2001953125,0,-0.00937108811281388
2010-01-20,5221.7001953125,5256.7001953125,5201.39990234375,5226.10009765625,0,-0.0007561165620956245
2010-01-21,5094.14990234375,5220.35009765625,5085.4501953125,5220.2001953125,0,-0.024730253416518803
2010-01-22,5036.0,5094.14990234375,4954.85009765625,5094.14990234375,0,-0.011480687178891941
2010-01-25,5007.89990234375,5035.7001953125,4983.0498046875,5034.5498046875,0,-0.005595470135225262
2010-01-27,4853.10009765625,5008.5,4833.0498046875,5008.5,0,-0.03139894990280727
2010-01-28,4867.25,4929.89990234375,4824.9501953125,4863.0,0,0.002911399732814308
2010-01-29,4882.0498046875,4893.7001953125,4766.0,4866.14990234375,0,0.003036077739411096
2010-02-01,4899.7001953125,4918.7998046875,4827.14990234375,4882.0498046875,0,0.0036088449983292152
2010-02-02,4830.10009765625,4951.14990234375,4814.10009765625,4907.85009765625,0,-0.01430682701245135
2010-02-03,4931.85009765625,4949.14990234375,4831.0,4831.0,0,0.020846999413257735
2010-02-04,4845.35009765625,4931.2998046875,4832.35009765625,4931.2998046875,0,-0.017694688705123994
2010-02-05,4718.64990234375,4827.0,4692.35009765625,4819.64990234375,0,-0.026496781268445523
2010-02-08,4760.39990234375,4799.0498046875,4675.39990234375,4755.35009765625,0,0.008808956769992533
2010-02-09,4792.64990234375,4810.39990234375,4739.35009765625,4760.5498046875,0,0.006751796164294356
2010-02-10,4757.2001953125,4826.85009765625,4748.10009765625,4793.0,0,-0.007424173049006029
2010-02-11,4826.85009765625,4843.7998046875,4757.25,4757.25,0,0.014534800298261869
2010-02-15,4801.9501953125,4845.60009765625,4783.89990234375,4827.89990234375,0,-0.005171975135166793
2010-02-16,4855.75,4880.0,4791.35009765625,4801.7998046875,0,0.011141443639869172
2010-02-17,4914.0,4929.7001953125,4857.60009765625,4858.64990234375,0,0.011924704368882228
2010-02-18,4887.75,4922.0498046875,4873.7001953125,4915.10009765625,0,-0.005356199200524958
2010-02-19,4844.89990234375,4887.2998046875,4805.5498046875,4887.2998046875,0,-0.008805489760123469
2010-02-22,4856.39990234375,4912.0498046875,4845.89990234375,4849.35009765625,0,0.002370817440569972
2010-02-23,4870.0498046875,4884.10009765625,4833.14990234375,4856.60009765625,0,0.0028067612985113975
2010-02-24,4858.60009765625,4880.5498046875,4834.64990234375,4869.5498046875,0,-0.002353813207905825
2010-02-25,4859.75,4880.14990234375,4835.60009765625,4859.0,0,0.00023664559057058937
2010-02-26,4922.2998046875,4992.0,4858.4501953125,4858.5,0,0.012788865005232845
2010-03-02,5017.0,5029.4501953125,4935.35009765625,4935.60009765625,0,0.01905628423679781
2010-03-03,5088.10009765625,5093.25,5015.10009765625,5015.7998046875,0,0.014072353623684244
2010-03-04,5080.25,5096.9501953125,5049.0,5096.9501953125,0,-0.0015440261478846663
2010-03-05,5088.7001953125,5118.64990234375,5068.0498046875,5080.5498046875,0,0.0016619605947973564
2010-03-08,5124.0,5147.10009765625,5092.14990234375,5092.14990234375,0,0.006912950461775033
