Date,NIFTY50,BankNifty,SPY,IndiaVIX
2015-01-01,,15.029999732971191,18750.23046875,
2015-01-02,170.12503051757812,13.800000190734863,19057.580078125,8395.4501953125
2015-01-05,167.05264282226562,14.149999618530273,19017.1796875,8378.400390625
2015-01-06,165.47918701171875,17.420000076293945,18430.53515625,8127.35009765625
2015-01-07,167.54119873046875,18.139999389648438,18304.037109375,8102.10009765625
2015-01-08,170.5142059326172,16.469999313354492,18701.18359375,8234.599609375
2015-01-09,169.14779663085938,15.960000038146973,18637.033203125,8284.5
2015-01-12,167.8227996826172,16.110000610351562,18795.630859375,8323.0
2015-01-13,167.3507080078125,16.479999542236328,18706.982421875,8299.400390625
2015-01-14,166.3404083251953,17.25,18603.583984375,8277.5498046875
2015-01-15,164.8166046142578,16.15999984741211,19235.427734375,8494.150390625
2015-01-16,166.9781036376953,17.270000457763672,19222.927734375,8513.7998046875
2015-01-19,,17.649999618530273,19405.826171875,8550.7001953125
2015-01-20,167.33416748046875,17.270000457763672,19766.8203125,8695.599609375
2015-01-21,168.17886352539062,17.709999084472656,19843.01953125,8729.5
2015-01-22,170.67987060546875,18.56999969482422,19917.41796875,8761.400390625
2015-01-23,169.7440948486328,17.889999389648438,20072.466796875,8835.599609375
2015-01-26,170.14154052734375,,,
2015-01-27,167.8972930908203,18.09000015258789,20555.01171875,8910.5
2015-01-28,165.74417114257812,19.770000457763672,20491.51171875,8914.2998046875
2015-01-29,167.27618408203125,19.43000030517578,20528.361328125,8952.349609375
2015-01-30,165.17279052734375,20.170000076293945,19843.51953125,8808.900390625
2015-02-02,167.21820068359375,20.40999984741211,19865.669921875,8797.400390625
2015-02-03,169.63638305664062,19.809999465942383,19382.724609375,8756.5498046875
2015-02-04,168.9904327392578,20.049999237060547,19173.77734375,8723.7001953125
2015-02-05,170.69644165039062,20.6200008392334,19051.6796875,8711.7001953125
2015-02-06,170.2244110107422,20.690000534057617,18786.48046875,8661.0498046875
2015-02-09,169.46253967285156,22.020000457763672,18403.634765625,8526.349609375
2015-02-10,171.26780700683594,21.190000534057617,18752.28125,8565.5498046875
2015-02-11,171.36717224121094,20.5,18940.580078125,8627.400390625
2015-02-12,173.01519775390625,20.15999984741211,19128.376953125,8711.5498046875
2015-02-13,173.7274169921875,20.100000381469727,19369.474609375,8805.5
2015-02-16,,20.829999923706055,19189.7265625,8809.349609375
2015-02-17,174.00070190429688,,,
2015-02-18,174.0172576904297,20.90999984741211,19296.275390625,8869.099609375
2015-02-19,173.8930206298828,20.399999618530273,19188.078125,8895.2998046875
2015-02-20,174.93650817871094,21.270000457763672,19073.328125,8833.599609375
2015-02-23,174.91168212890625,21.6299991607666,18913.1796875,8754.9501953125
2015-02-24,175.40855407714844,21.549999237060547,18883.58203125,8762.099609375
2015-02-25,175.2594451904297,20.780000686645508,18732.833984375,8767.25
2015-02-26,175.05247497558594,20.579999923706055,18537.884765625,8683.849609375
2015-02-27,174.4561767578125,19.56999969482422,19074.328125,8844.599609375
2015-03-02,175.55764770507812,15.850000381469727,20007.8671875,8956.75
2015-03-03,174.83714294433594,15.489999771118164,19960.966796875,8996.25
2015-03-04,174.1000213623047,15.199999809265137,19643.671875,8922.650390625
2015-03-05,174.29058837890625,14.4399995803833,19747.76953125,8937.75
2015-03-06,171.83926391601562,,,
2015-03-09,172.55145263671875,15.8100004196167,19145.328125,8756.75
2015-03-10,169.7523193359375,15.529999732971191,19054.1796875,8712.0498046875
2015-03-11,169.3548126220703,15.130000114440918,19043.779296875,8699.9501953125
2015-03-12,171.5079803466797,14.75,19141.626953125,8776.0
2015-03-13,170.45623779296875,14.970000267028809,18779.58203125,8647.75
2015-03-16,172.733642578125,15.180000305175781,18837.130859375,8633.150390625
2015-03-17,172.22021484375,15.130000114440918,19058.029296875,8723.2998046875
2015-03-18,174.29058837890625,15.510000228881836,19147.02734375,8685.900390625
2015-03-19,173.49549865722656,15.199999809265137,18810.931640625,8634.650390625
2015-03-20,175.02696228027344,14.260000228881836,18606.1328125,8570.900390625
2015-03-23,174.6858673095703,14.270000457763672,18448.78515625,8550.900390625
2015-03-24,173.70433044433594,13.670000076293945,18331.236328125,8542.9501953125
2015-03-25,171.158935546875,13.140000343322754,18309.88671875,8530.7998046875
2015-03-26,170.7512664794922,15.15999984741211,17831.443359375,8342.150390625
2015-03-27,171.14227294921875,14.5,18044.591796875,8341.400390625
2015-03-30,173.2301788330078,14.260000228881836,18361.587890625,8492.2998046875
2015-03-31,171.71629333496094,14.489999771118164,18206.439453125,8491.0
2015-04-01,171.1090087890625,13.670000076293945,18617.6328125,8586.25
2015-04-02,171.7245330810547,,,
2015-04-06,172.8807830810547,14.569999694824219,18605.232421875,8659.900390625
2015-04-07,172.42330932617188,14.25,18469.0859375,8660.2998046875
2015-04-08,173.00559997558594,14.350000381469727,18416.384765625,8714.400390625
2015-04-09,173.77085876464844,14.420000076293945,18875.630859375,8778.2998046875
2015-04-10,174.7191619873047,14.260000228881836,18800.630859375,8780.349609375
2015-04-13,173.92892456054688,14.489999771118164,18798.03125,8834.0
2015-04-14,174.2616424560547,,,
2015-04-15,175.0435333251953,14.619999885559082,18716.083984375,
2015-04-16,174.9936981201172,14.949999809265137,18636.833984375,8706.7001953125
2015-04-17,172.98065185546875,15.039999961853027,18345.337890625,8606.0
2015-04-20,174.56114196777344,16.299999237060547,18112.5390625,8448.099609375
2015-04-21,174.3531951904297,17.030000686645508,18105.5390625,8377.75
2015-04-22,175.20999145507812,17.209999084472656,18243.486328125,8429.7001953125
2015-04-23,175.6508026123047,18.5,18245.38671875,8398.2998046875
2015-04-24,176.05844116210938,19.110000610351562,18001.69140625,8305.25
2015-04-27,175.3263702392578,18.739999771118164,17767.392578125,8213.7998046875
2015-04-28,175.8837432861328,17.40999984741211,18246.037109375,8285.599609375
2015-04-29,175.1600799560547,17.239999771118164,18302.4375,8239.75
2015-04-30,173.40487670898438,17.229999542236328,18337.88671875,8181.5
2015-05-01,175.2848358154297,,,
2015-05-04,175.78396606445312,17.309999465942383,18501.0859375,8331.9501953125
2015-05-05,173.77085876464844,17.360000610351562,18471.234375,8324.7998046875
2015-05-06,173.0554962158203,19.670000076293945,17799.34375,8097.0
2015-05-07,173.7459259033203,19.649999618530273,17376.69921875,8057.2998046875
2015-05-08,176.03343200683594,19.110000610351562,17796.392578125,8191.5
2015-05-11,175.19332885742188,18.6299991607666,18199.5390625,8325.25
2015-05-12,174.66929626464844,20.549999237060547,17628.4453125,8126.9501953125
2015-05-13,174.70254516601562,20.690000534057617,18097.23828125,8235.4501953125
2015-05-14,176.52427673339844,20.700000762939453,18115.98828125,8224.2001953125
2015-05-15,176.71560668945312,19.81999969482422,18182.939453125,8262.349609375
