Date,close,hist_full,roll_20d,roll_60d,roll_120d,ewma_span20,ewma_span40
2010-01-04,5232.2001953125,0.16564373882433692,,,,,
2010-01-05,5277.89990234375,0.16564373882433692,,,,,
2010-01-06,5281.7998046875,0.16564373882433692,,,,0.08932559931218177,0.08932559931218177
2010-01-07,5263.10009765625,0.16564373882433692,,,,0.09758354376603696,0.09812374091085897
2010-01-08,5244.75,0.16564373882433692,,,,0.08827594980470081,0.08989782464032459
2010-01-11,5249.39990234375,0.16564373882433692,,,,0.07469254103017038,0.0769612087366501
2010-01-12,5210.39990234375,0.16564373882433692,,,,0.08525171531042566,0.08672267552945714
2010-01-13,5233.9501953125,0.16564373882433692,,,,0.085380829006285,0.085729951540735
2010-01-14,5259.89990234375,0.16564373882433692,,,,0.08382217898028071,0.08405925690900451
2010-01-15,5252.2001953125,0.16564373882433692,,,,0.0773640545737466,0.07852895076802004
2010-01-18,5274.85009765625,0.16564373882433692,0.07780755102630324,,,0.07482794052014144,0.07623717762367682
2010-01-19,5225.64990234375,0.16564373882433692,0.08845395861871586,,,0.09155022347931502,0.08971616081210933
2010-01-20,5221.7001953125,0.16564373882433692,0.08438887656975855,,,0.08477533199747106,0.08441424105617851
2010-01-21,5094.14990234375,0.16564373882433692,0.13499413708059713,,,0.15661490897318314,0.1457102830499716
2010-01-22,5036.0,0.16564373882433692,0.135720933704965,,,0.15210523982641477,0.14433700136733923
2010-01-25,5007.89990234375,0.16564373882433692,0.13131028280631507,,,0.14225038894564396,0.13746433515910847
2010-01-27,4853.10009765625,0.16564373882433692,0.169900069297474,,,0.19486711851891048,0.18343008617550458
2010-01-28,4867.25,0.16564373882433692,0.16709543383500006,,,0.19175186743691278,0.18013402681747887
2010-01-29,4882.0498046875,0.16564373882433692,0.16438470005155614,,,0.18733292438753335,0.17653863456865593
2010-02-01,4899.7001953125,0.16564373882433692,0.1620450879965555,,,0.18268769994051043,0.17318934928410354
2010-02-02,4830.10009765625,0.16564373882433692,0.16235823486551904,,,0.17927413610492732,0.17194484482544947
2010-02-03,4931.85009765625,0.16564373882433692,0.1797555019348027,,,0.21652474278605796,0.19886269749080074
2010-02-04,4845.35009765625,0.16564373882433692,0.1859415126308729,,,0.21798316974293921,0.20114615480978681
2010-02-05,4718.64990234375,0.16564373882433692,0.20185296187319582,,,0.23422330120935658,0.21522796184542728
2010-02-08,4760.39990234375,0.16564373882433692,0.20807043978982812,,,0.23475690026249266,0.21591013708829088
2010-02-09,4792.64990234375,0.16564373882433692,0.21123095394579755,,,0.22984767881221502,0.21343394911308802
2010-02-10,4757.2001953125,0.16564373882433692,0.21122496869531746,,,0.21831898290689397,0.20651017879301303
2010-02-11,4826.85009765625,0.16564373882433692,0.21975333069962535,,,0.22668133672837568,0.21312381905758074
2010-02-15,4801.9501953125,0.16564373882433692,0.21718061235464153,,,0.21526270984037424,0.20618822390326247
2010-02-16,4855.75,0.16564373882433692,0.22406019333858537,,,0.2149596131824649,0.207153096690137
2010-02-17,4914.0,0.16564373882433692,0.2293429857493897,0.19349009099324935,,0.21378718149810144,0.20791855311842933
2010-02-18,4887.75,0.16564373882433692,0.2284307918737044,0.19046551381724364,,0.20454137632996577,0.2019208741647312
2010-02-19,4844.89990234375,0.16564373882433692,0.22900828992934558,0.18828389411057628,,0.1983205658988195,0.19760466671727567
2010-02-22,4856.39990234375,0.16564373882433692,0.2159000827003176,0.18578760806890646,,0.18905484888309587,0.19219479050974214
2010-02-23,4870.0498046875,0.16564373882433692,0.21386795296136774,0.18346998742764464,,0.18037469203023793,0.1870986719730029
2010-02-24,4858.60009765625,0.16564373882433692,0.21338889948455275,0.18075295073156677,,0.17148387506164228,0.18146439903021291
2010-02-25,4859.75,0.16564373882433692,0.18183986947692707,0.1782608171398658,,0.16291360238815897,0.1761466282492582
2010-02-26,4922.2998046875,0.16564373882433692,0.18718956634626502,0.17998378874410018,,0.16781653546169906,0.1790832103727531
2010-03-02,5017.0,0.16564373882433692,0.1983051164169235,0.18536985126183542,,0.1825024792331329,0.18878620685800027
2010-03-03,5088.10009765625,0.16564373882433692,0.2032921213398665,0.1869390222078273,,0.18221680065025764,0.19012251075358758
2010-03-04,5080.25,0.16564373882433692,0.19467364663271783,0.18453850604365887,,0.1749033641425512,0.1849482686880203
2010-03-05,5088.7001953125,0.16564373882433692,0.18223903633788718,0.18231419209429806,,0.16634770190515924,0.17966512267742105
2010-03-08,5124.0,0.16564373882433692,0.16813324422086842,0.18103461265158954,,0.15923107094860536,0.17583672589586075
2010-03-09,5101.5,0.16564373882433692,0.13134458201825291,0.1791158686299062,,0.15585973647124343,0.17226508050018713
2010-03-10,5116.25,0.16564373882433692,0.130085471811861,0.17721616154211367,,0.14815189280778027,0.1675582748294916
2010-03-11,5133.39990234375,0.16564373882433692,0.12955325323986427,0.1754282178034887,,0.1408716576435383,0.16307275600118293
2010-03-12,5137.0,0.16564373882433692,0.12359429523911403,0.17348803739512692,,0.13425812342807897,0.1585849749601828
2010-03-15,5128.89990234375,0.16564373882433692,0.11821976143182344,0.1716136474216142,,0.1291315125564453,0.15459640336288685
2010-03-16,5198.10009765625,0.16564373882433692,0.11949611083970729,0.17270854644171613,,0.13420709594814123,0.1567645337005426
2010-03-17,5231.89990234375,0.16564373882433692,0.11690016204246113,0.17155766825596694,,0.1285727182353584,0.15342032643919076
2010-03-18,5245.89990234375,0.16564373882433692,0.11284141623317157,0.16990410068265496,,0.12231477212735904,0.14928326804836758
2010-03-19,5262.7998046875,0.16564373882433692,0.10815743707659745,0.16834346765900138,,0.11630763312263884,0.1453153289600904
2010-03-22,5205.2001953125,0.16564373882433692,0.11175160019385692,0.16847261978020706,,0.130406458936205,0.1491791477071093
2010-03-23,5225.2998046875,0.16564373882433692,0.11166156866944407,0.16706739199243828,,0.12431369399419766,0.1454430256382543
2010-03-25,5260.39990234375,0.16564373882433692,0.11211917156277237,0.16611925318918047,,0.12015853635123042,0.14274033237178493
2010-03-26,5282.0,0.16564373882433692,0.10969310278087058,0.1647962999989569,,0.11448181201507672,0.13918397486783057
2010-03-29,5302.85009765625,0.16564373882433692,0.10871168722626426,0.1634867308501418,,0.10901391374132578,0.1356864291920007
2010-03-30,5262.4501953125,0.16564373882433692,0.11186094810777582,0.16286697611867998,,0.1152901491972289,0.13661588586148016
2010-03-31,5249.10009765625,0.16564373882433692,0.09688512939972958,0.16152584721580002,,0.1116653971550787,0.13384533483238437
2010-04-01,5290.5,0.16564373882433692,0.08902824520423876,0.1609368019510243,,0.11053020855555434,0.13236453826240238
2010-04-05,5368.39990234375,0.16564373882433692,0.09858439815697768,0.16228408010537446,0.16228408010537446,0.12107552624714868,0.13681963488434587
2010-04-06,5366.0,0.16564373882433692,0.09917801423651532,0.16137366669581726,0.16093586731594495,0.11651358395516642,0.1336377405196549
2010-04-07,5374.64990234375,0.16564373882433692,0.09793547460233683,0.16139424184140053,0.15962950399224746,0.11098802895506746,0.13019003638063706
2010-04-08,5304.4501953125,0.16564373882433692,0.11013784722924935,0.16355401109847248,0.16064965563768802,0.13021796367153232,0.13796761111896239
2010-04-09,5361.75,0.16564373882433692,0.11447009726095934,0.1648046873617204,0.16073259709189008,0.13189191978656967,0.13839190382712746
2010-04-12,5339.7001953125,0.16564373882433692,0.11665041050377335,0.16505667730022835,0.159718224608404,0.12900439207941136,0.13649015356493074
2010-04-13,5322.9501953125,0.16564373882433692,0.11799470202836096,0.16442793504038186,0.15862856250236607,0.1247519413566167,0.13402488011788777
2010-04-15,5273.60009765625,0.16564373882433692,0.12395800026785563,0.16537443151763856,0.15851369079542568,0.12872859755054797,0.13588918675136158
2010-04-16,5262.60009765625,0.16564373882433692,0.11598984772809608,0.16512688166742598,0.15738359356292853,0.12289464812517013,0.13280244650166542
2010-04-19,5203.64990234375,0.16564373882433692,0.12108257216438471,0.16671415288042796,0.15772073392002814,0.12854134290369648,0.13604634398960344
2010-04-20,5230.10009765625,0.16564373882433692,0.12215001060457151,0.16680912973744094,0.1568782029700349,0.12582960670449625,0.1337398465109125
2010-04-21,5244.89990234375,0.16564373882433692,0.12201498808266832,0.165796595701834,0.15584493489425208,0.1207713146061313,0.1306315710852314
2010-04-22,5269.35009765625,0.16564373882433692,0.11608809805887689,0.16605284115195793,0.15498439916800572,0.11722448865129753,0.1281648105008188
2010-04-23,5304.10009765625,0.16564373882433692,0.11748790725218908,0.15822657474582402,0.1543738071213449,0.11555110335635974,0.1266264383302074
2010-04-26,5322.4501953125,0.16564373882433692,0.11586419684388914,0.15627499785323318,0.15343127499202763,0.11061840920564911,0.1237273716734137
2010-04-27,5308.35009765625,0.16564373882433692,0.11562830145218275,0.1558666345794571,0.15248270430582797,0.10672273172393074,0.1212982644351001
